,x,y,EC_0.15,EC_0.22,EC_0.31,EC_0.46,EC_0.66,EC_0.95,EC_1.38,EC_2.00,EC_end,pos
0,107719.9937888889,183326.6925333333,139.5361526422648,107.1384106187763,78.38780613474098,57.48122785299937,44.989970068856735,38.39968806443882,34.964553488770605,33.30280442138083,32.96853068367335,1
1,107755.86151818182,183331.1214,53.965500657398174,33.85111210713065,18.142202668825533,10.416316651476452,11.159981800499388,17.64979031293455,26.127935407185547,33.90948587688927,39.9375377342661,2
2,107797.93544545454,183278.9048727273,120.23311169377243,100.16651149283608,89.8217976442186,93.51913632644994,109.3960072190661,130.5173461672085,150.00969788059618,164.6693692271943,174.61100806892958,3
3,107764.40281538464,183318.4132153846,52.24795558273239,27.91164368439081,6.818379854292404,-6.380902915297737,-9.107398484460983,-2.231693201743406,10.555869356538814,24.751688521462142,36.99330373640243,4
4,107723.42537142856,183309.4027142857,174.74270060461149,136.81900464125422,102.75596439274594,77.07369314636246,60.051339123834104,48.70075457346928,40.329942407597606,34.18041458675879,30.43239232536722,5
5,107742.897625,183330.1258375,80.60485431500017,57.71545053324862,39.26912810783859,28.76596491194592,26.20326448265201,28.472097065828848,32.120942552899855,35.32586288124978,37.794606788619824,6
6,107806.755275,183274.783715,108.65341354810766,84.94655766622927,72.42157856116127,76.51194377304883,95.72839951854507,122.35140598253335,147.9284588466284,167.81884043615514,181.49843229816156,7
7,107758.59206,183312.54344,55.972467668074536,34.72791473062343,16.817019370828234,6.144913758929084,4.386997971260012,10.214945165675775,20.360168317656036,31.346632130420893,40.76565273854546,8
8,107776.02779,183310.31861,73.07131095636454,56.21525386429838,46.43824315741988,47.229650368853704,57.507472262145136,72.25236204357655,86.22663681165562,96.80732695817068,103.93767896222359,9
9,107726.3215,183318.8376333333,176.24844365537075,140.35883350176616,110.03476018444044,89.34501941414453,76.8938468508342,67.78682592342297,58.701166472881056,49.8691556055256,43.06384220811575,10
10,107766.74172,183327.35406,42.67995536968866,25.031522659966303,11.474499903391724,5.527138213504394,8.124423241940361,17.13413970452157,28.89519957874783,40.17474671620855,49.185186982839156,11
11,107777.31210000002,183299.6196181818,68.43346694631941,52.737856862878175,44.81499578424062,48.30272271790554,62.033219176200745,80.58897332645259,98.15845274960158,111.65265218531641,120.83740526160017,12
12,107751.80372307693,183298.45846153845,133.96694790300683,103.63903740761356,80.11348719871204,67.6268127229357,64.85416948421565,66.32089657272174,67.3191026068331,66.65366933660407,65.46597331152034,13
13,107732.68432857144,183327.4764857143,102.05091646378676,78.16903845623405,60.671417474879696,53.28116627232531,54.876228144360304,60.47782327767747,65.43462233741853,68.12494555555246,69.2977028937003,14
14,107776.3765111111,183291.22352222225,102.6174950680857,82.17195995240432,69.40805469755216,68.32640877295181,77.88118418195629,92.73457119838051,107.32997197061326,118.82484838300037,126.95216560965164,15
