,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9937888889,183326.6925333333,38.95610222483883,75.97531690344958,83.91299004431853,67.74993724984628,26.352998878045174,1
1,107755.86151818182,183331.1214,13.795550963979661,58.25503328378571,88.1046659167979,72.5866922372525,29.28024758348329,2
2,107797.93544545454,183278.9048727273,41.07858946898206,101.71395355219747,260.4016006734689,204.29630580762856,37.158679808787085,3
3,107764.40281538464,183318.4132153846,19.367612691694116,53.548003813583094,68.09696132363618,78.06712899061814,38.700992186820145,4
4,107723.42537142856,183309.4027142857,47.034618447995676,94.80772101464589,139.88976733638145,53.26634992370279,22.6064959405239,5
5,107742.897625,183330.1258375,37.27919822254363,49.6531966858256,65.20085265923429,72.87867208262784,35.556322179400404,6
6,107806.755275,183274.783715,36.56535692453357,108.9131623185836,183.1833516604169,203.85731905974075,40.36616546743055,7
7,107758.59206,183312.54344,16.431088836387474,57.809470966629824,51.295147491116495,76.060364110829,10.339117914107609,8
8,107776.02779,183310.31861,41.27768235881762,95.15051465912452,144.83026322105687,109.74553736700251,43.71597610732642,9
9,107726.3215,183318.8376333333,49.353870978834166,57.072874521705785,150.3613763046539,118.31304031651565,47.04499045426904,10
10,107766.74172,183327.35406,37.629214907127995,33.9428448180757,73.79204448248998,69.07204301682052,37.54377714053105,11
11,107777.31210000002,183299.6196181818,47.36516262716536,108.07537565981842,119.57147758368005,115.18203800049449,40.39261522618254,12
12,107751.80372307693,183298.45846153845,43.01027681246518,110.53964773581085,119.60760293277409,106.42297596762594,42.26293217021369,13
13,107732.68432857144,183327.4764857143,48.79140293532639,103.82807608955254,125.09396686923208,79.67879287555667,25.7853379169358,14
14,107776.3765111111,183291.22352222225,41.275691297950694,112.25234726805053,175.38565336415874,146.04409214271232,32.67900853673482,15
