,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9979,183326.6793,98.3215672811248,94.33431803762397,47.010244968406695,25.953243289385732,23.61156118731801,1
1,107755.6395,183331.2104,29.419309795167198,26.376915606417416,33.89508057922106,30.017059262819526,24.675367733418454,2
2,107797.4476,183278.6469,93.24846408684526,83.65915001736687,53.30603406959783,90.35129529481941,88.89515670287182,3
3,107764.0831,183318.0822,18.299758411708094,21.219445470599442,9.515804470572514,24.192007061597614,28.616833955241653,4
4,107723.0048,183309.1898,94.12033498951027,92.64361333018024,54.5898003919446,53.12314395996764,49.83690598870437,5
5,107742.871,183330.0981,53.16218102970485,54.76680895003205,32.575769764663804,25.510339507601977,31.987364588031056,6
6,107806.7161,183274.99,67.3322706899268,67.28224345596355,98.67140947191365,91.42826014098522,59.610531641019975,7
7,107758.6659,183312.5732,33.42293822975632,16.562001142869985,34.29492205593437,13.365995191392903,45.54442619024033,8
8,107775.383,183309.8767,83.57428773789532,64.122723009199,88.4426783967321,72.0527642542734,82.00786620280897,9
9,107726.3815,183318.7508,89.76722511691183,97.37569090908335,92.40850615068419,83.68451060425166,89.85388093096135,10
10,107766.4694,183327.2822,21.397806273169603,19.735005444019134,15.201529914610218,27.466081249677366,62.304744084699784,11
11,107777.0025,183299.3846,71.22376640419056,50.18517636900435,93.11720958471061,96.15077176846796,74.80760435750835,12
12,107752.314,183298.7686,91.80077839769893,90.06149395705394,68.34369417678666,75.68449714433709,78.15975072342246,13
13,107732.7209,183327.4299,87.42600777560882,53.57190449354828,52.054745298511065,81.76443465251087,86.98811575241947,14
14,107776.5235,183291.4178,73.87440336523412,85.66450178978353,90.90881037806014,95.46460221548168,95.11802865455627,15
